"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\Flights.js", "JavaScript", 14, 0, 0, 0, 1, 15
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\app.js", "JavaScript", 65, 0, 0, 1, 11, 77
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\flightslist.html", "HTML", 0, 0, 0, -1, 1, 0
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package-lock.json", "JSON", 0, 0, 28, 0, 0, 28
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\package.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\add-flight.ejs", "HTML", 0, 86, 0, 1, 7, 94
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\delete-flight.ejs", "HTML", 0, 65, 0, 0, 2, 67
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\edit-flight.ejs", "HTML", 0, 102, 0, 0, 10, 112
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\lastpart.ejs", "HTML", 0, 138, 0, 1, 15, 154
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\project.ejs", "HTML", 0, 1, 0, 0, 0, 1
"c:\Users\busin\Desktop\Final Project\JavaScript for final project\views\registration.ejs", "HTML", 0, 6, 0, 0, 3, 9
"Total", "-", 79, 398, 29, 2, 50, 558
